code,coding_system,description,entity,list_name,upload_date
2.91724E+15,CPRD_product_code,Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.91734E+15,CPRD_product_code,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95284E+15,CPRD_product_code,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95294E+15,CPRD_product_code,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95304E+15,CPRD_product_code,Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95314E+15,CPRD_product_code,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95324E+15,CPRD_product_code,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95334E+15,CPRD_product_code,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95344E+15,CPRD_product_code,Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95354E+15,CPRD_product_code,Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95364E+15,CPRD_product_code,Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95374E+15,CPRD_product_code,Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95384E+15,CPRD_product_code,Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95394E+15,CPRD_product_code,Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95404E+15,CPRD_product_code,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95414E+15,CPRD_product_code,Mixtard 40 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95424E+15,CPRD_product_code,Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95434E+15,CPRD_product_code,Mixtard 50 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95444E+15,CPRD_product_code,Mixtard 50 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95454E+15,CPRD_product_code,Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95464E+15,CPRD_product_code,Velosulin 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95474E+15,CPRD_product_code,Monotard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.95484E+15,CPRD_product_code,Ultratard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.13694E+15,CPRD_product_code,Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.13704E+15,CPRD_product_code,Insulin detemir 100units/ml solution for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.13714E+15,CPRD_product_code,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.13724E+15,CPRD_product_code,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.27774E+15,CPRD_product_code,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.33384E+15,CPRD_product_code,Humulin M3 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.34564E+15,CPRD_product_code,Insulin glulisine 100units/ml solution for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.34574E+15,CPRD_product_code,Insulin glulisine 100units/ml solution for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.34584E+15,CPRD_product_code,Apidra 100units/ml solution for injection 10ml vials (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.34594E+15,CPRD_product_code,Apidra 100units/ml solution for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.86934E+15,CPRD_product_code,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.91424E+15,CPRD_product_code,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.91434E+15,CPRD_product_code,Apidra Optiset Pre-filled Disposable Pen 100 units/ml; 3 ml pen,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.92264E+15,CPRD_product_code,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
3.96394E+15,CPRD_product_code,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.12654E+15,CPRD_product_code,Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.25854E+15,CPRD_product_code,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.25864E+15,CPRD_product_code,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.27084E+15,CPRD_product_code,Human Actrapid Injection 500 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.42304E+15,CPRD_product_code,Humulin R 500units/ml solution for injection 20ml vials (Imported (United States)),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.60854E+15,CPRD_product_code,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.60864E+15,CPRD_product_code,Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Compan,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
4.60874E+15,CPRD_product_code,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Compan,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
5.40354E+15,CPRD_product_code,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
5.91074E+15,CPRD_product_code,Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company L,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
5.91154E+15,CPRD_product_code,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Lt,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
6.01184E+15,CPRD_product_code,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
6.38964E+15,CPRD_product_code,Insuman Basal 100units/ml suspension for injection 3ml pre-filled SoloStar pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
